Condition,trial,phase,word_type,trial_type,word_num,word,referent 1,referent 2,referent 3,referent 4,audio,,,,,
Confirm,0,,,other,,,alien.png,,,,Hello%2C%20my%20friend%20from%20Earth.m4a,,,,,
Confirm,1,Warmup,Filler,open_trial,F1,blicket,2003.jpg,2006.jpg,,,Look%2C%20there's%20a%20blicket.%20Find%20the%20blicket!.m4a,,,,,
Confirm,2,Exposure,Target,open_trial,R1,kuabid,2004.jpg,2053.jpg,,,Oh%20wow%2C%20that's%20a%20kuabid.%20Point%20to%20the%20kuabid!.m4a,,,,,
Confirm,3,Exposure,Target,open_trial,R1,kuabid,2010.jpg,2004.jpg,,,Look%2C%20this%20one%20is%20a%20kuabid.%20Can%20you%20find%20the%20kuabid%3F.m4a,,,,,
Confirm,4,Exposure,Target,open_trial,R1,kuabid,2004.jpg,2051.jpg,,,Remember%20the%20kuabid%3F%20Point%20to%20the%20kuabid!.m4a,,,,,
Confirm,5,Exposure,One-shot,open_trial,N1,dax,2008.jpg,2037.jpg,,,Look%2C%20this%20one%20is%20a%20dax.%20Find%20the%20dax!.m4a,,,,,
Confirm,6,Exposure,Target,open_trial,R2,fendle,2010.jpg,2055.jpg,,,Look%2C%20that's%20a%20fendle.%20Point%20to%20the%20fendle!.m4a,,,,,
Confirm,7,Exposure,Target,open_trial,R2,fendle,2055.jpg,2053.jpg,,,Oh%20wow%2C%20there's%20a%20fendle.%20Find%20the%20fendle!.m4a,,,,,
Confirm,8,Exposure,Target,open_trial,R2,fendle,2050.jpg,2055.jpg,,,Remember%20the%20fendle%3F%20Can%20you%20point%20to%20the%20fendle%3F.m4a,,,,,
Confirm,9,Exposure,One-shot,open_trial,N2,mipen,2062.jpg,2042.jpg,,,Look%2C%20this%20one%20is%20a%20mipen.%20Point%20to%20the%20mipen!.m4a,,,,,
Confirm,10,,,other,,,alien.png,,,,Do%20you%20like%20my%20toys%3F.m4a,,,,,
Confirm,11,Exposure,Target,open_trial,R3,smick,2036.jpg,2051.jpg,,,Look%2C%20that's%20a%20smick.%20Can%20you%20find%20the%20smick%3F.m4a,,,,,
Confirm,12,Flush,Target,open_trial,R3,smick,2050.jpg,2036.jpg,,,Oh%20wow%2C%20this%20one%20is%20a%20smick.%20Find%20the%20smick!.m4a,,,,,
